நான் உன்னை காதலிக்கிறேன்.	I love you.
இந்த தொப்பியின் விலை என்ன?	What is the price of this cap?
இவர்களில் யார் உன்னுடைய சகோதரர்	Which of them is your brother?
முட்டைகளின் விலை அதிகரித்துக் கொண்டிருக்கிறது	The price of eggs is going up.
அவன் அபாயத்தை அறிந்திருக்க வில்லை	He was not aware of the danger.
நான் பள்ளிக்கு நடந்து செல்கிறேன்	I walk to school.
நான் இப்பொழுது போக வேண்டும்	I have to go now.
பந்தை என்னிடம் உருட்டி விடு	Roll the ball to me.
நான் அதை உன்னிடம் விட்டு விடுகிறேன்	I'll leave that to you.
அவனுக்கு நெருக்கமாக நின்றாள்	She stood close to him.
எனக்கு சாப்பிட ஏதாவது வேண்டும்	I want something to eat.
அவன் ஒவ்வொருவருக்கும் அறிமுகமானவன்	He is known to everyone.
எங்களுடைய திட்டத்திற்கு எதிர்ப்புத் தெரிவித்தான்	He objected to our plan.
நீ பணக்காரராக விருப்பமா?	Do you want to be rich?
அவள் அவனுக்கு திருமணம் செய்து வைக்கப் பட்டாள்	She got married to him.
அவள் அவனுக்கு நிச்சயிக்கப் பட்டாள்	She got engaged to him.
அவர்கள் கிளம்ப இருக்கிறார்கள்	They're about to leave.
நீ என்ன செய்யத் திட்டமிட்டிருக்கிறாய்	What do you plan to do?
இந்த சீடி அவளுக்குச் சொந்தமானது	This CD belongs to her.
என்னுடைய கணக்கிற்கு மாற்று	Charge it to my account.
என்னை வந்து பார்	Come and see me.
வா எங்களுக்கு உதவி செய்	Come and help us.
வாயை மூடி கவனி	Shut up and listen!
போய் மேரியை எழுப்பு	Go and wake Mary up.
போய் யார் என்று பார்	Go and see who it is.
குடித்துவிட்டு வண்டி ஓட்டாதே	Don't drink and drive.
அவனுக்கு எழுதப் படிக்கத் தெரியும்	He can read and write.
டாமும் நானும் நண்பர்கள்	Tom and I are friends.
இங்கே அமருங்கள்,தயவு செயது காத்திருங்கள்	Please sit here and wait.
மெதுவாகவும் தெளிவாகவும் பேசுங்கள்	Speak slowly and clearly.
உடனே வந்து என்னைப் பார்க்கவும்	Come and see me right now.
போய் உன் தந்தையருகில் அமரவும்	Go and sit by your father.
அவள் சிரித்தாள்	She smiled.
அவள் யார்?	Who is she?
அவள் அவனைக் கடித்தாள்	She bit him.
அவள் அவனைக் அடித்தாள்	She hit him.
அவள் அன்பானவள்	She is kind.
அவளுக்கு எட்டு வயது	She is eight.
அவளிடம் 2000 புத்தகங்கள் உள்ளன	She has 2,000 books.
அவள் அவனுக்கு ஒரு புத்தகத்தைக் கொடுத்தாள்	She gave him a book.
அவள் அவனோடு நடனம் ஆடினாள்	She danced with him.
அவள் பியானோ வாசிக்கிறாளோ?	Does she play piano?
அவள் முட்டைகளை வேக வைத்தாள்	She boiled the eggs.
எப்பொழுது நம்மால் சாப்பிட முடியும்	When can we eat?
அவன் எப்ப வருவான் என்று உனக்குத் தெரியுமா	Do you know when he will come?
உங்கள் பிறந்த நாள் எப்போது ?	When is your birthday?
இது எப்பொழுது ஆரம்பிக்கிறது?	When does it begin?
அவன் யார்?	Who is he?
யாருக்குத் தெரியும்?	Who knows?
அவன் என்ன சொன்னான்?	What did he say?
அவனைக் கொஞ்சம் பணம் கேட்டாள்	She asked him for some money.
உன்னிடம் ஏதாவது பசை இருக்கிறதா?	Do you have any gum?
நீ எப்பொழுது ஜப்பான் வந்தாய்?	When did you come to Japan?
டாம் ரொம்ப வேகமாக ஓடுகிறான்	Tom runs very fast.
நாங்கள் திருடனுக்குப் பின்னால் ஓடினோம்	We ran after the thief.
அவன் இப்பொழுதுதான் வந்தான்	He just arrived.
நான் உன்னை விட உயரமாக இருக்கிறேன்	I'm taller than you.
நிறைய மக்கள் நான் பைத்தியம் என்று எண்ணுகிறார்கள்	Most people think I'm crazy.
நாம் எங்கே இருக்கிறோம்?	Where are we?
நான் ஒரு தவறு செய்தேன்?	I made a mistake.
டாமுக்கும் ஜானுக்கும் இடையில் அமர்ந்தேன்	I sat between Tom and John.
அவன் சீக்கிரம் திரும்பி வந்தான்	He came back soon.
அந்த பக்கம்தான் வழி	That's the way.
அது எங்களுடைய வீடு	That's our house.
நான் நிறைய சாப்பிட்டேன்	I ate too much.
அவைகள் என்னுடைய CD கள்	Those are my CDs.
அமைதியாக இருங்கள்	Calm down.
தங்களுடைய தந்தையார் எப்படி இருக்கிறார்கள்?	How is your dad?
ஆறு மணிக்கு முன்பு வீட் டிற்கு வா	Come home before six.
மறுபடியும் சந்திப்போம்	See you again.
அவள் பத்திரிக்கையை மேலோட்டமாகப் பார்த்தாள்	She glanced through the magazine.
அவனுக்கு உடல் நிலை சரியில்லாததனால் அவனால் வர இயலாது	Because he's sick, he can't come.
அவருக்கு மூன்று மகன்கள்	He has three sons.
அவன் இன்னும் இருக்கிறான்	He is still here.
அவன் ஏரியில் நீச்சலடித்தான்	We swam in the lake.
உங்களுக்கு சைக்கிள் ஓட்டத் தெரியுமா?	Can you ride a bicycle?
அவன் ஒட்டினக் காரில் அவள் எப்பொழுதும் இருந்ததில்லை	She has never been in a car driven by him.
என்னுடையத் தவறினால் கேக்கானதுக் கருகிப் போனது.தோலைப் பேசியில் பேசிக் கொண்டிருந்ததால் நேரத்தைக் கவனிக்க வில்லை	It's my fault that the cake was burned. I was talking on the phone and didn't notice the time.
அந்த பையன் அழ ஆரம்பித்தான்	The boy began to cry.
இரயிலில் என்னிடம் ஜேப்படி அடிக்கப் பட்டிருந்தது	I had my pocket picked on the train.
நான் எதிர் காலத்தில் ஒரு விமானியாக விரும்புகிறேன்	I want to be a pilot in the future.
கல்யாணம் எப்பொழுது நடைப் பெற்றது	When did the wedding take place?
மணி ஒலித்தப் பிறகு அவன் வந்தான்	He arrived after the bell rang.
உங்களுடைய வேலையாட்கள் மகிழ்ச்சியாக இருக்க வேண்டுமென்றால் நீங்கள் கணிசமான சம்பளம் தர வேண்டும்	If you want your workers to be happy, you need to pay them a decent wage.
சின்ன கேக்குத் துண்டு அவள் தொண்டையில் சிக்கிக் கொண்டது	My throat hurts when I swallow.
அவன் மேரியின் விரலில் மோதிரத்தை அணிவித்தான்	He put the ring on Mary's finger.
இந்த ஆப்பிள் இனிப்பாக இருக்கிறது	This apple is sweet.
கண்ணாடி வீட்டில் வசிப்பவகள் கல்லை எறியக் கூடாது	People who live in glass houses shouldn't throw stones.
அவள் அழகான ஆடை அணிந்திருந்தாள்	She wore a beautiful dress.
நான் கீழ் தளத்தில் வசிக்கிறேன்	I live on the bottom floor.
அவன் பேசியப் பொழுது எல்லோரும் அமைதி காத்தார்கள்	When he spoke, everyone became silent.
ஒரு சதுரத்திற்கு நான்கு பக்கங்கள் உள்ளன	A square has four sides.
தொடர்பில் இரு	Keep in touch!
செய்தி வேகமாக பரவியது	The news quickly spread.
இந்த பள்ளி கூடம் ஒரு சிறைச்சாலையைப் போல இருக்கிறது	The school looks like a prison.
மழை பெய்யலாம்	It may rain.
கையைத் தூக்கு	Raise your hand.
நான் காய்கறி வாங்க கடைக்குப் போனேன்	I came to buy vegetables.
கற்றதனால் ஆய பயனென்கொல் வாலறிவன் நற்றாள் தொழாஅர் எனின்.	What is the use of learning if you don't worship God or respect learned persons?
மலர்மிசை ஏகினான் மாணடி சேர்ந்தார் நிலமிசை நீடுவாழ் வார்.	If you worshipped God, who is in your flower-like mind, you would live longer.
வேண்டுதல் வேண்டாமை இலானடி சேர்ந்தார்க்கு யாண்டும் இடும்பை இல.	To those who meditate the feet of God,who neither has desire nor aversion, evil shall never come.
பொறிவாயில் ஐந்தவித்தான் பொய்தீர் ஒழுக்க நெறிநின்றார் நீடுவாழ் வார்	If you have faith in God, you can control all five senses and live a peaceful, long life.
வானின் றுலகம் வழங்கி வருதலால் தானமிழ்தம் என்றுணரற் பாற்று	Rain is like ambrosia, as the world cannot exist without rain.
துப்பார்க்குத் துப்பாய துப்பாக்கித் துப்பார்க்குத் துப்பாய தூஉ மழை	Rain not only acts as food but also produces food.
விண்இன்று பொய்ப்பின் விரிநீர் வியனுலகத்து உள்நின் றுடற்றும் பசி	The earth is surrounded by sea water, but if the rain fails, people will starve.
ஏரின் உழாஅர் உழவர் புயல்என்னும் வாரி வளங்குன்றிக் கால்	If rain fails, farmers will stop ploughing.
கெடுப்பதூஉம் கெட்டார்க்குச் சார்வாய்மற் றாங்கே எடுப்பதூஉம் எல்லாம் மழை	Rain, by its absence, ruins men, but by its existence restores them to fortune.
விசும்பின் துளிவீழின் அல்லால்மற் றாங்கே பசும்புல் தலைகாண் பரிது	If the rain fails, even the grass will fail to raise its head.
நெடுங்கடலும் தன்நீர்மை குன்றும் தடிந்தெழிலி தான்நல்கா தாகி விடின்	Even the wealth of the wide sea will be diminished if the cloud that has drawn its waters up does not give them back again in rain.
சிறப்பொடு பூசனை செல்லாது வானம் வறக்குமேல் வானோர்க்கும் ஈண்டு	If rain fails, neither yearly festivals nor daily worship will be offered in this world to the celestials.
தானம் தவமிரண்டும் தங்கா வியனுலகம் வானம் வழங்கா தெனின்	If rain fails there will be neither charity nor penance.
நீரின் றமையா துலகெனின் யார்யார்க்கும் வானின் றமையா தொழுக்கு	If there is no rain, there is no water. This may make a civilized society into an uncivilized one.
நம்பிக்கையில்லாமல் நட்பு இருக்க முடியாது	There can be no friendship without trust.
நட்புக்குத் தேவை பரஸ்பர நம்பிக்கை	Friendship requires mutual trust.
அன்பை விட நட்புதான் முக்கியமானதா?	Is friendship more important than love?
நட்பை விட அன்புதான் முக்கியமானதா?	Is love more important than friendship?
அவள் முகம் அழுகையால் நனைந்திருந்தது	Her face was wet with tears.
நீ பாஸ்போர்ட்டைஎங்கே வைத்திருக்கிறாய்?	Where do you keep your passport?
மக்கள் அந்த வார்த்தையைப் பயன் படுத்துவதாக எனக்குத் தெரியவில்லை	I don't think people use that word anymore.
ஒருவர் அந்த வார்த்தையைப் பயன் படுத்துவதைக் கேட்டு ரொம்ப நாளாகிறது	It's been a long time since I've heard anyone use that word.
என்னால் வேலை செய்ய முடியாத நிலை வரை நான் வேலை செய்வேன்	I work until I can't anymore.
அவன் தூக்கக் கலக்கத்தில் இல்லை	He is not sleepy.
என் தங்கை இள வயதிலேய கல்யாணம் செய்து கொண்டாள்	My younger sister got married in her teens.
அவள் உன்னை வெறுக்கிற மாதிரி தெரிகிறது	It seems she hates you.
இது செர்பியாவின் மூன்றாவது பெரிய நகரம்.	It's the third biggest city in Serbia.
கன மழை பெய்து கொண்டிருக்கிறது.	It's raining cats and dogs tonight.
இருட்டாக இருக்கும் பொழுது நான் வெளியே போக விரும்புவதில்லை.	I don't like to go out when it's dark.
இன்று மாலை ஆறு மணிக்கு அவனை நான் சந்திக்கிறேன்.	I'll be meeting him today at 6 o'clock this evening.
இன்று மாலை ஆறு மணிக்கு அவன் என்னை சந்திக்கிறான்.	He meets me today evening at six o'clock.
இதைப் பற்றி பேசனும்ன்னு நினைக்கிறேன்.	I think I should talk about this.
உங்க பேரு என்ன?	What's your name?
மணி என்ன?	What time is it?
மணி என்ன ஆகிறது?	What time is it?
மணி என்ன ஆகிறது?	What is the time?
இது செர்பியாவின் மூன்றாவது பெரிய நகரம்.	This is the third largest city in Serbia.
சர்வதேச மகளிர் தின வாழ்த்துக்கள்!	Happy International Women's Day!
நான் ஒரு மனிதன்.	I am a man.
நீ வழி காட்டப் பட்டுக் கொண்டு இருக்கிறாய்	You are being guided.
அவன் அமைதியாக இருக்கட்டும்.	Let him be calm.
நான் உன்னை நம்புகிற அளவிற்கு முட்டாள் இல்லை.	I'm not stupid enough to believe you.
அவர்களில்லாமல் நான் என்ன செய்வேன்?	What would I do without them?
அவன் அவளிடம் ஏதோ சொன்னான் மற்றும் அவள் சிரித்தாள்.	He told her something and she smiled.
இது எங்கே இருக்கு என்று என்னால் கண்டுபிடிக்க முடியவில்லை.	I can't find it anywhere.
நான் தினமும் நன்றாக தூங்குகிறேன்.	I sleep well every day.
டாம் மதியம் முழுவதும் அழுதுகொண்டேயிருக்கிறான்.	Tom has been crying all afternoon.
டாம் மேரியுடன் ஒவ்வொரு ஞாயிற்றுக் கிழமையும் தேவாலயத்துக்குச் செல்கிறான்.	Tom goes to church with Mary every Sunday.
ஏன் டாம் நாமிருவரும் சேர்ந்து செய்வோமென்று பரிந்துரைத்தான் என்று ஆச்சரியமடைகிறேன்.	I wonder why Tom suggested we do that together.
டாம் மேரியுடன் தொடர்பிலிருந்துருக்கிறான் அல்லது டாம் மேரியுடன் தொடர்பிலிருக்கிறான்.	Tom has been in contact with Mary.
டாம் அதைப் பற்றி அவனே என்னிடம் சொன்னான்.	Tom told me about it himself.
டாம் இன்னும் உயிருடனிருக்கிறான் என்று எண்ணுகிறேன்.	I suppose Tom is still alive.
டாமிடம் நான் இதை பகிர்ந்துகொண்டு இருக்கவில்லை.	I'm not sharing this with Tom.
எனக்கு அவ்வளவு தெரியும்.	I know that much.
அவர்கள் கடிதம் எழுதினார்களா?	Did they write a letter?
நான் தூங்குகிறேன்.	I am sleeping.
நான் தூங்கினேன்.	I slept.
இது மனிதகுலத்திற்கு ஒரு விலைமதிப்பற்ற புதையல்.	This is a priceless treasure to mankind.
நான் தூங்குவேன்.	I will sleep.
கடல் மட்டம் உயர்வதற்கு தட்பவெப்ப மாற்றம் காரணமாக இருக்கிறது.	Climate change causes sea levels to rise.
இங்கிருந்து வெளியே செல்ல சுலபமான வழியில்லை.	There's no easy way out of here.
நாங்கள் உன்னைத் பின்பற்றுவோம் தொடர்வோம்.	We'll follow you.
நீ கோபமாக இருப்பாய் என்று எண்ணினேன்.	I thought you'd be angry.
எப்படி பதில் சொல்வது என்பதில் நான் உறுதியாக இல்லை.	I'm not sure how to answer this.
நான் நடப்பேன்.	I'll walk.
ஒரு சதுரத்திற்கு நான்கு சமமான பக்கங்கள் உள்ளன	A square has four equal sides.
நான் ஒரு வழி காட்டி இல்லை	I am not a guide.
மணி என்ன ஆகிறது?	What's the time?
சியோனிஸ்ட் திட்டம் 19ஆம் நூற்றாண்டின் பிற்பகுதியிலேயே ஆரம்பித்துவிட்டது.	The Zionist project goes back to the late 19th century.
டாம் ஒரு வருடத்திற்கு முன்னால் ஆஸ்திரேலியாவில் இருந்தார்	Tom was in Australia a year ago.
மூன்று மோசமான நாய்கள் டாமை தாக்கின	Three vicious dogs attacked Tom.
என் ஒருவனால் மட்டுமே அதை செய்ய முடியாது என்று நினைக்கிறேன் என டாம் கூறினார்	Tom says he doesn't think he can do that by himself.
டாம் ஓடிவிட்டால், அவரால் எங்கு செல்ல முடியும்?	If Tom ran away, where could he go?
அவர்கள் எதனால் என் உதவி தேவைப்பட்டது என்று கூறினார்கள்.	They told me why they needed my help.
டாம் நள்ளிரவு வரை எங்களுடன் குடித்தார்.	Tom drank with us until after midnight.
டாமின் கார் 1980 களில் தயாரிக்கப்பட்டது.	Tom's car was manufactured in the 1980s.
டாமும் மேரியும் எப்படி உங்கள் உதவியை நாடினார்கள்?	How did Tom and Mary get you to help them?
டாம் கால்பந்தை எடுத்தார்.	Tom picked up the soccer ball.
நீ காவலன் என்பதை டாமிடம் சொல்லாதே.	Don't tell Tom you're a cop.
அதைப்பற்றி எண்ணிக்கொண்டிருக்காதே. செயல்படு	Don't think about it. Do it.
நான் அவன்.	I am him.
நான் அவள்.	I am her.
நல்ல முயற்சி.	Nice attempt.
அவர் யார்?	Who is he?
அவர்கள் பல நாடுகளில் இருந்து வருகிறார்கள்.	They come from many countries.
உங்கள் வயது என்ன?	How old are you?
அவனுக்கு பத்து வயது.	He is ten years old.
அவளுக்கு பத்து வயது.	She is ten years old.
வளர்ச்சி முக்கியம்.	Growth is important.
மாம்பழத்தை எடு.	Pick up the mango.
வயசு ஆகது.	I'm getting old.
வயசு ஆகது.	He's getting old.
வயசு ஆகது.	She's getting old.
உதவி செய்.	Please help.
தயவுசெய்து உதவுங்கள்.	Please help.
அவனை குத்து.	Punch him.
அவளை குத்து.	Punch her.
எப்போ நேரம் வரும்?	When will the time come?
அவன் போய்விட்டான்.	He left.
அதற்கு இப்போது உதவி தேவை.	It needs help right now.
அதற்கு இப்போது உதவி தேவை.	That needs help right now.
நீங்கள் எத்தனை வருடங்கள் அங்கே இருந்தீர்கள்?	How many years were you over there?
நான் நாளைக்கு வரேன்.	I will come back tomorrow.
நான் நாளைக்கு வரேன்.	I will return tomorrow.
எப்படி உங்களுக்கு நன்றி சொல்வது என்று தெரியவில்லை.	I don't know how to thank you.
எப்படி உங்களுக்கு நன்றி சொல்வது என்று தெரியவில்லை.	I don't know how I can thank you.
உள்ளே வா!	Come inside!
உங்களுக்கு எத்தனை குழந்தைகள்?	How many children do you have?
அவருக்கு ஆங்கிலம் பிடிக்காது.	He doesn't like English.
